Model,Accuracy,Precision,Recall,F1,ROC-AUC
logistic_regression,0.7501774308019872,0.5192307692307693,0.7941176470588235,0.627906976744186,0.8318181818181818
random_forest,0.759403832505323,0.5395033860045146,0.6390374331550802,0.5850673194614443,0.8148466764835051
svm,0.7444996451383961,0.5122377622377622,0.7834224598930482,0.6194503171247357,0.8269097625875118
